Food,Fat (g),Protein (g),Fiber (g),Vit C
Couscous,0.1,3.4,1.3,0
Peanut Butter,16,7.7,2.1,0
Potatoes,0.2,3.7,3.2,15.6
White Rice,0.2,2.1,0.3,0
Pork,72.2,13.8,0,0
Grapes,0.1,0.2,0.2,1
Oatmeal,2.3,6.1,4,0
Celery,0.1,0.3,0.7,2.8
Popcorn,1.2,3.4,4.3,0
Lettuce,0,0.2,0.3,0.8
White Tuna,2.1,22.7,0,0
Apple,0.5,0.3,3.7,7.9
Chicken,10.8,42.2,0,0
Banana,0.5,1.2,2.7,10.4
Tofu,5.5,9.4,1.4,0.1
 Corn,0.6,2.5,2,5.2
Kiwi,0.3,0.8,2.6,74.5
Oranges,0.2,1.2,3.1,69.7
Eggs,7.3,6.7,0,0.1
Peppers,0.1,0.7,1.3,66.1
Tomato,0.4,1,1.4,23.5
Broccoli,0.8,8,8.5,160.2
Carrots,0.1,0.6,1.6,5.1
